time,open,high,low,close,color,moving_average,color_moving_average
1732599420,2620.42,2621.26,2619.41,2621.26,#450C69,2623.758,#ef5350
1732599480,2621.69,2621.82,2621.69,2621.82,,2623.68,#ef5350
1732599540,2621.14,2621.83,2621.14,2621.83,,2623.5995999999996,#ef5350
1732599600,2621.85,2622.0,2621.85,2622.0,,2623.5219999999995,#ef5350
1732599660,2622.36,2622.46,2622.36,2622.46,,2623.4495999999995,#ef5350
1732599720,2622.69,2622.74,2622.36,2622.74,#450C69,2623.3536,#ef5350
1732599780,2622.17,2622.17,2621.25,2621.25,,2623.2497999999996,#ef5350
1732599840,2621.35,2622.4,2621.32,2621.32,#450C69,2623.1613999999995,#ef5350
1732599900,2621.27,2621.32,2620.56,2621.32,#450C69,2623.0511999999994,#ef5350
1732599960,2620.29,2620.37,2620.29,2620.37,,2622.9409999999993,#ef5350
1732600020,2620.29,2620.32,2620.2,2620.32,#450C69,2622.8145999999992,#ef5350
1732600080,2620.21,2620.21,2620.15,2620.15,,2622.711399999999,#ef5350
1732600140,2620.82,2621.18,2620.21,2621.18,#450C69,2622.6097999999993,#ef5350
1732600200,2621.2,2621.2,2620.31,2620.78,#450C69,2622.4991999999993,#ef5350
1732600260,2620.62,2620.62,2620.31,2620.31,,2622.3829999999994,#ef5350
1732600320,2619.92,2620.37,2619.92,2620.37,,2622.293399999999,#ef5350
1732600380,2620.27,2620.88,2620.27,2620.88,,2622.2025999999987,#ef5350
1732600440,2620.54,2620.95,2620.27,2620.95,,2622.103399999999,#ef5350
1732600500,2621.85,2623.11,2620.55,2620.55,,2622.0645999999992,#ef5350
1732600560,2623.5,2623.5,2623.28,2623.28,,2622.040199999999,#ef5350
1732600620,2623.14,2623.73,2622.92,2623.73,,2622.048599999999,#26a69a
1732600680,2624.16,2624.9,2624.16,2624.9,,2622.038799999999,#ef5350
1732600740,2624.35,2624.35,2624.0,2624.0,,2622.028999999999,#ef5350
1732600800,2624.29,2624.29,2624.0,2624.0,,2622.021399999999,#ef5350
